Model,Accuracy,Precision,Recall,F1-score
Decision Tree,0.8561244666458528,0.8568049148599197,0.8561244666458528,0.8559740723838181
Random Forest,0.8165261733791237,0.8676111850315945,0.8165261733791237,0.8274807151012846
Logistic Regression,0.8985326256634405,0.9021866468376778,0.8985326256634405,0.8990975406067355
Linear SVM,0.897179727338953,0.9023729717590709,0.897179727338953,0.8981356076451683
